5026619590316 14.5  7.4  1.019900-99.9-99.9-99.9-99.9 4.0 32 6.8 68  1.5  27 21.610.3 3.8
5026619590317 19.5  5.5  0.009900-99.9-99.9-99.9-99.9 7.3 59 7.7 65  3.2  12  9.614.4 2.8
5026619590318 29.6 11.0  0.009900-99.9-99.9-99.9-99.9 3.9 32 8.8 47  5.1   8  6.410.0 3.3
5026619590319 27.5 15.5  0.009900-99.9-99.9-99.9-99.9 4.5 37 8.6 49  4.8  15 12.010.7 4.6
5026619590320 35.0 13.0  0.009900-99.9-99.9-99.9-99.9 5.4 44 9.9 60  6.8   7  5.611.7 3.5
5026619590321 35.8 18.0  0.009900-99.9-99.9-99.9-99.9 4.5 37 7.5 28  2.9  45 36.010.511.8
5026619590322 30.0 18.0  0.009900-99.9-99.9-99.9-99.9 5.5 46 6.0 30 -0.2  20 16.011.6 6.2
5026619590323 20.0 14.0  0.119900-99.9-99.9-99.9-99.9 0.6  5 7.3 55  2.5   9  7.2 5.5 3.0
5026619590324 18.5  9.0  7.619900-99.9-99.9-99.9-99.9 2.9 24 7.1 59  2.1  15 12.0 8.3 3.2
5026619590325 15.5  8.0  3.219900-99.9-99.9-99.9-99.9 1.9 16 8.7 84  5.0  43 34.4 7.0 4.1
5026619590326 21.5  9.0  0.009900-99.9-99.9-99.9-99.9 7.7 65 7.3 54  2.5  27 21.613.8 4.8
5026619590327 25.2  9.5  0.009900-99.9-99.9-99.9-99.9 5.8 49 7.4 53  2.7  34 27.211.4 6.3
5026619590328 22.5 11.5  0.009900-99.9-99.9-99.9-99.9 2.7 23 4.2 32 -5.0  53 42.4 7.710.5
5026619590329 23.8  6.2  0.009900-99.9-99.9-99.9-99.9 5.7 49 4.3 30 -4.7  16 12.811.1 4.0
5026619590330 21.0 13.8  1.219900-99.9-99.9-99.9-99.9 0.0  0 6.8 53  1.5  13 10.4 4.4 3.6
5026619590331 16.5 13.0  1.719900-99.9-99.9-99.9-99.9 0.9  810.4 85  7.5  16 12.8 5.4 2.5
5026619590401 14.5  6.4  0.009900-99.9-99.9-99.9-99.9 9.9 86 4.5 46 -4.1  43 34.415.6 6.0
5026619590402 18.2  4.0  0.219900-99.9-99.9-99.9-99.9 9.5 83 5.0 46 -2.7  32 25.615.0 4.8
5026619590403 16.0  9.0  0.009900-99.9-99.9-99.9-99.9 3.2 28 5.1 46 -2.5  27 21.6 7.8 4.6
5026619590404 14.8  3.8  0.919910-99.9-99.9-99.9-99.9 3.1 27 4.3 55 -4.7  46 36.8 7.6 6.1
5026619590405 15.0  1.8  0.009910-99.9-99.9-99.9-99.9 9.3 82 2.9 36 -9.8  23 18.414.3 3.8
