5046519610713 12.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.0 35 -9.4  21 16.8-9.9-9.9
5046519610714 16.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.8 28 -6.4  21 16.8-9.9-9.9
5046519610715 16.5-99.9  2.019900-99.9-99.9-99.9-99.9-9.9 99 3.6 27 -7.1  13 10.4-9.9-9.9
5046519610716 16.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.4 29 -7.8  18 14.4-9.9-9.9
5046519610717 10.0-99.9  9.519900-99.9-99.9-99.9-99.9-9.9 99 5.1 54 -2.5  24 19.2-9.9-9.9
5046519610718  9.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 69  0.0   7  5.6-9.9-9.9
5046519610719 10.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 64 -0.7   4  3.2-9.9-9.9
5046519610720 10.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.3 69  0.4   2  1.6-9.9-9.9
5046519610721 10.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 66  0.2   9  7.2-9.9-9.9
5046519610722 13.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 57 -0.5  21 16.8-9.9-9.9
5046519610723 13.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 44  0.2  12  9.6-9.9-9.9
5046519610724 14.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 36 -3.6  17 13.6-9.9-9.9
5046519610725 11.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 63 -0.7   4  3.2-9.9-9.9
5046519610726 11.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.0 64 -2.7   7  5.6-9.9-9.9
5046519610727 13.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 50 -3.6   8  6.4-9.9-9.9
5046519610728 16.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 36 -4.7  27 21.6-9.9-9.9
5046519610729 19.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.0 28 -5.7  16 12.8-9.9-9.9
5046519610730 22.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.5 18 -7.4  13 10.4-9.9-9.9
5046519610731 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 40 -3.8   3  2.4-9.9-9.9
5046519610801 22.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 42 -1.9   6  4.8-9.9-9.9
5046519610802 24.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.5 25 -7.4  13 10.4-9.9-9.9
5046519610803 23.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 25 -4.7  11  8.8-9.9-9.9
5046519610804 23.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.5 14-11.7  16 12.8-9.9-9.9
5046519610805 19.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.5 16-11.7  18 14.4-9.9-9.9
