5012919610603-99.9 -2.5 10.019901-99.9-99.9-99.9-99.9 0.0  0 5.0 83 -2.7  27 21.6 3.2-9.9
5012919610604-99.9  0.0  0.219900-99.9-99.9-99.9-99.9 1.0 10 2.8 27-10.3  19 15.2 4.2-9.9
5012919610605-99.9  2.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 4.6 50 -3.8  11  8.8 3.2-9.9
5012919610606-99.9  0.6 18.219901-99.9-99.9-99.9-99.9 0.0  0 2.7 32-10.7  37 29.6 3.2-9.9
5012919610607-99.9 -2.0 38.619901-99.9-99.9-99.9-99.9 0.0  0 4.8 82 -3.3  37 29.6 3.2-9.9
5012919610608-99.9 -3.0 10.819900-99.9-99.9-99.9-99.9 0.0  0 3.9 73 -6.0  14 11.2 3.2-9.9
5012919610609-99.9 -8.0  0.009901-99.9-99.9-99.9-99.9 0.0  0 1.7 42-16.4   9  7.2 3.1-9.9
5012919610610-99.9-16.0  0.009900-99.9-99.9-99.9-99.9 7.5 75 0.8 32-25.0  11  8.810.3-9.9
5012919610611-99.9-16.0  0.219901-99.9-99.9-99.9-99.9 6.6 66 0.9 36-23.7  11  8.8 9.4-9.9
5012919610612-99.9-17.0  0.009901-99.9-99.9-99.9-99.9 2.6 26 0.8 34-25.0   7  5.6 5.6-9.9
5012919610613-99.9-17.0  0.009900-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9   6  4.8 3.1-9.9
5012919610614-99.9-19.1  0.009900-99.9-99.9-99.9-99.9 7.9 79 1.2 44-20.5   6  4.810.6-9.9
5012919610615-99.9-18.5  0.009900-99.9-99.9-99.9-99.9 7.9 79 1.6 46-17.1   6  4.810.6-9.9
5012919610616-99.9-14.1  0.009900-99.9-99.9-99.9-99.9 7.9 79 3.0 53 -9.4   6  4.810.6-9.9
5012919610617-99.9-11.5  0.009900-99.9-99.9-99.9-99.9 5.5 55 2.0 35-14.4  16 12.8 8.3-9.9
5012919610618-99.9-13.0  0.009900-99.9-99.9-99.9-99.9 6.9 69 2.4 34-12.2  14 11.2 9.6-9.9
5012919610619-99.9 -7.8  0.009900-99.9-99.9-99.9-99.9 7.8 78 2.2 43-13.3  14 11.210.5-9.9
5012919610620-99.9 -8.1  0.009900-99.9-99.9-99.9-99.9 7.9 79 3.4 58 -7.8   4  3.210.6-9.9
5012919610621-99.9 -7.5  0.009900-99.9-99.9-99.9-99.9 7.8 78 2.9 47 -9.8   4  3.210.5-9.9
5012919610622-99.9 -5.1  0.009900-99.9-99.9-99.9-99.9 7.8 78 3.3 51 -8.2   7  5.610.5-9.9
5012919610623-99.9 -4.5  0.009900-99.9-99.9-99.9-99.9 7.9 79-9.9-99-99.9 -99-99.910.6-9.9
5012919610624-99.9-99.9  0.009900-99.9-99.9-99.9-99.9 7.9 79-9.9-99-99.9 -99-99.910.6-9.9
5012919610625-99.9-99.9  0.009900-99.9-99.9-99.9-99.9 3.1 31-9.9-99-99.9 -99-99.9 6.0-9.9
5012919610626-99.9-99.9  0.819901-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.1-9.9
5012919610627-99.9 -6.0  0.009901-99.9-99.9-99.9-99.9 0.0  0 3.0 60 -9.4  19 15.2 3.1-9.9
5012919610628-99.9-14.0  0.009900-99.9-99.9-99.9-99.9 6.9 69 2.4 57-12.2   9  7.2 9.7-9.9
5012919610629-99.9 -8.0  0.009900-99.9-99.9-99.9-99.9 2.0 20 2.5 57-11.7  11  8.8 5.0-9.9
5012919610630-99.9-10.8  0.009900-99.9-99.9-99.9-99.9 7.9 79 2.0 45-14.4   7  5.610.6-9.9
5012919610701-99.9 -9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.6 59 -7.1  25 20.0-9.9-9.9
5012919610702-99.9 -9.0  0.009900-99.9-99.9-99.9-99.9 8.0 80 2.4 40-12.2  17 13.610.8-9.9
5012919610703-99.9 -6.5  0.009900-99.9-99.9-99.9-99.9 8.0 80 2.8 48-10.3  11  8.810.8-9.9
5012919610704-99.9 -4.0  0.009900-99.9-99.9-99.9-99.9 7.7 77 2.8 41-10.3  17 13.610.5-9.9
5012919610705-99.9 -2.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 2.6 39-11.2  27 21.6 3.2-9.9
5012919610706-99.9-10.0  0.009900-99.9-99.9-99.9-99.9 6.0 60 2.8 55-10.3   9  7.2 9.0-9.9
