5015819780501-99.9-99.9  7.219900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780826-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780827-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780829-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780830-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780831-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780901 10.5 -3.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 71 -2.2   0  0.0-9.9-9.9
5015819780902 10.5 -5.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.1 77 -2.5   0  0.0-9.9-9.9
5015819780903 13.0 -5.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 69 -1.9   0  0.0-9.9-9.9
5015819780904 10.5 -1.8  5.019900-99.9-99.9-99.9-99.9-9.9 99 8.0 88  3.8   0  0.0-9.9-9.9
5015819780905 14.5  4.7  2.519900-99.9-99.9-99.9-99.9-9.9 99 9.5 88  6.2   0  0.0-9.9-9.9
5015819780906 13.0  5.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 82  5.0   0  0.0-9.9-9.9
5015819780907 14.5  2.7  2.419900-99.9-99.9-99.9-99.9-9.9 99 7.3 67  2.5   1  0.8-9.9-9.9
5015819780908 14.0  4.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 70  2.1   0  0.0-9.9-9.9
5015819780909 14.0 -1.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 63  0.6   0  0.0-9.9-9.9
5015819780910 12.5 -3.8  2.719900-99.9-99.9-99.9-99.9-9.9 99 6.7 74  1.3   0  0.0-9.9-9.9
5015819780911  9.5  4.7  3.419900-99.9-99.9-99.9-99.9-9.9 99 9.3 93  5.9   0  0.0-9.9-9.9
5015819780912 13.0  5.2  1.119900-99.9-99.9-99.9-99.9-9.9 99 8.9 77  5.3   4  3.2-9.9-9.9
5015819780913 12.5  2.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 74  1.5   1  0.8-9.9-9.9
5015819780914  7.0  0.7  2.619900-99.9-99.9-99.9-99.9-9.9 99 7.9 95  3.6   0  0.0-9.9-9.9
5015819780915 13.0  2.2  3.819900-99.9-99.9-99.9-99.9-9.9 99 8.3 78  4.3   1  0.8-9.9-9.9
5015819780916 13.5  4.0  7.119900-99.9-99.9-99.9-99.9-9.9 99 7.4 73  2.7  13 10.4-9.9-9.9
5015819780917 12.0  0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 73  2.1   1  0.8-9.9-9.9
5015819780918 13.5  4.7  1.219900-99.9-99.9-99.9-99.9-9.9 99 8.1 70  3.9   0  0.0-9.9-9.9
5015819780919 11.0  5.2  2.519900-99.9-99.9-99.9-99.9-9.9 99 9.6 92  6.4   0  0.0-9.9-9.9
5015819780920 13.0  6.2  5.719900-99.9-99.9-99.9-99.9-9.9 9911.0 91  8.4   0  0.0-9.9-9.9
5015819780921 14.0  7.2  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 91  9.3   0  0.0-9.9-9.9
5015819780922 14.0  6.7  0.009900-99.9-99.9-99.9-99.9-9.9 9911.6 90  9.2   0  0.0-9.9-9.9
5015819780923 18.0  7.2  0.009900-99.9-99.9-99.9-99.9-9.9 9911.8 80  9.4   1  0.8-9.9-9.9
5015819780924 16.5 10.2  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 85 10.4   0  0.0-9.9-9.9
5015819780925 16.5  7.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 70  6.1   8  6.4-9.9-9.9
5015819780926 12.5  6.7  2.519900-99.9-99.9-99.9-99.9-9.9 99 7.7 63  3.2  19 15.2-9.9-9.9
5015819780927 14.0 -0.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 77  1.7   0  0.0-9.9-9.9
5015819780928 17.0 -1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 71  2.9   0  0.0-9.9-9.9
5015819780929 19.5 -1.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 57  1.3   5  4.0-9.9-9.9
5015819780930 12.5  5.2  3.219900-99.9-99.9-99.9-99.9-9.9 99 7.9 72  3.6   5  4.0-9.9-9.9
5015819781001 13.5  0.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 59  1.3   5  4.0-9.9-9.9
5015819781002 16.0 -2.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 66  0.9   5  4.0-9.9-9.9
5015819781003 17.5  0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 64  3.4   0  0.0-9.9-9.9
5015819781004 19.0 -0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 67  3.6   8  6.4-9.9-9.9
5015819781005 22.5  0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 58  5.4  16 12.8-9.9-9.9
5015819781006 22.5  4.0  1.319900-99.9-99.9-99.9-99.9-9.9 99 9.2 60  5.8  13 10.4-9.9-9.9
5015819781007 19.5  7.3  1.419900-99.9-99.9-99.9-99.9-9.9 9910.0 65  7.0  37 29.6-9.9-9.9
5015819781008 14.0  5.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.0 63  3.8  28 22.4-9.9-9.9
5015819781009 16.5 -2.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 67  3.0   1  0.8-9.9-9.9
5015819781010 15.0  3.7  2.019900-99.9-99.9-99.9-99.9-9.9 99 8.1 65  3.9  34 27.2-9.9-9.9
5015819781011 11.2  1.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 71  0.9   8  6.4-9.9-9.9
5015819781012 14.0  0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 65  1.9   1  0.8-9.9-9.9
5015819781013 11.6 -1.3 11.419900-99.9-99.9-99.9-99.9-9.9 99 7.5 73  2.9   3  2.4-9.9-9.9
5015819781014 16.5  4.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 80  5.4   0  0.0-9.9-9.9
5015819781015 15.0 -0.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 64  2.9   1  0.8-9.9-9.9
5015819781016 13.5 -2.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.7 74  3.2  23 18.4-9.9-9.9
5015819781017 17.5 -0.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 61  2.1   0  0.0-9.9-9.9
5015819781018 14.5 -0.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 71  4.3   0  0.0-9.9-9.9
5015819781019 17.5  6.3 25.219900-99.9-99.9-99.9-99.9-9.9 9911.0 80  8.4  18 14.4-9.9-9.9
5015819781020 12.2  4.7 29.619900-99.9-99.9-99.9-99.9-9.9 99 9.1 92  5.6  31 24.8-9.9-9.9
5015819781021 12.5  5.7  5.919900-99.9-99.9-99.9-99.9-9.9 99 8.6 91  4.8  22 17.6-9.9-9.9
5015819781022 16.5  4.2  0.819900-99.9-99.9-99.9-99.9-9.9 99 9.2 72  5.8   0  0.0-9.9-9.9
5015819781023 14.2  7.2  2.719900-99.9-99.9-99.9-99.9-9.9 99 8.0 65  3.8  19 15.2-9.9-9.9
5015819781024  9.5  5.3  4.319900-99.9-99.9-99.9-99.9-9.9 99 7.8 76  3.4  38 30.4-9.9-9.9
5015819781025 16.0  3.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.5 72  6.2  29 23.2-9.9-9.9
5015819781026 13.0  6.7  5.319900-99.9-99.9-99.9-99.9-9.9 99 9.7 88  6.5   3  2.4-9.9-9.9
5015819781027 14.5  5.3 14.019900-99.9-99.9-99.9-99.9-9.9 99 9.7 77  6.5  16 12.8-9.9-9.9
5015819781028 13.5  3.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 63  1.7   0  0.0-9.9-9.9
5015819781029 14.5  1.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 53  1.9  17 13.6-9.9-9.9
5015819781030 14.5  6.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 52  0.9   5  4.0-9.9-9.9
