5004419730719 10.8  4.6  0.009900  3.9-99.9-99.9-99.9 3.4 32 6.2 60  0.2  30 24.0 7.6 2.8
5004419730720  9.5  5.1  0.009900  4.4-99.9-99.9-99.9 0.0  0 7.3 71  2.5   4  3.2 3.8 1.0
5004419730721  9.5  4.5  0.009900  3.7-99.9-99.9-99.9 0.0  0 7.4 71  2.7   0  0.0 3.8 0.8
5004419730722 16.1 -1.1  0.009900 -1.8-99.9-99.9-99.9 8.7 82 7.1 65  2.1   7  5.613.6 1.1
5004419730723 18.3 -1.8  0.009900 -2.3-99.9-99.9-99.9 8.8 83 7.1 69  2.1   4  3.213.8 1.1
5004419730724 11.3  7.5  0.009900  7.0-99.9-99.9-99.9 0.0  0 8.4 70  4.5   7  5.6 3.9 1.2
5004419730725 12.6  6.1  0.009900  5.6-99.9-99.9-99.9 0.0  0 8.4 76  4.5   2  1.6 3.9 1.0
5004419730726 17.6  1.2  0.009900  0.1-99.9-99.9-99.9 8.1 76 6.9 63  1.7   9  7.213.2 1.6
5004419730727 23.5  3.8  0.009900  2.3-99.9-99.9-99.9 8.8 83 7.2 49  2.3  19 15.214.1 3.1
5004419730728 20.3  0.8  0.009900  0.3-99.9-99.9-99.9 9.1 85 7.4 63  2.7   5  4.014.5 1.4
5004419730729 22.1  2.6  0.009900  2.2-99.9-99.9-99.9 7.5 70 8.9 57  5.3  12  9.612.7 2.0
5004419730730 21.5  3.1  0.009900  2.6-99.9-99.9-99.9 4.6 43 8.1 62  3.9   7  5.6 9.4 1.7
5004419730731 20.2  3.8  0.009900  3.2-99.9-99.9-99.9 2.6 24 8.4 56  4.5   2  1.6 7.1 1.3
5004419730801 22.5 10.8  0.009900  9.9-99.9-99.9-99.9 8.7 81 7.8 41  3.4  16 12.814.3 3.3
5004419730802 25.3  6.3  0.009900  5.2-99.9-99.9-99.9 8.7 81 7.6 44  3.0   5  4.014.4 2.0
5004419730803 25.1  6.5  0.009900  5.6-99.9-99.9-99.9 8.7 81 7.2 43  2.3   8  6.414.5 2.4
5004419730804 30.4  8.9  0.009900  8.1-99.9-99.9-99.9 8.7 81 6.8 32  1.5  15 12.014.5 3.9
5004419730805 28.5 10.8  0.009900  9.9-99.9-99.9-99.9 8.9 82 6.9 32  1.7   7  5.614.9 2.7
5004419730806 25.3 14.0  0.009900 13.2-99.9-99.9-99.9 8.2 76 7.2 29  2.3  48 38.414.1 8.8
5004419730807 26.6  6.3  0.009900  5.7-99.9-99.9-99.9 8.2 75 9.9 55  6.8  15 12.014.2 3.0
5004419730808 23.2 10.4  0.009900  9.4-99.9-99.9-99.9 3.3 3010.9 54  8.2  12  9.6 8.3 2.5
5004419730809 18.8 12.0  0.009900 11.3-99.9-99.9-99.9 0.3  3 6.7 41  1.3   6  4.8 4.7 2.3
5004419730810 14.4 10.2  0.009900  9.5-99.9-99.9-99.9 0.0  0 5.3 40 -1.9   9  7.2 4.4 2.5
5004419730811 17.7  8.9  0.009900  8.5-99.9-99.9-99.9 6.1 56 4.6 31 -3.8  26 20.811.9 4.8
5004419730812 22.9  4.5  0.009900  3.6-99.9-99.9-99.9 9.2 84 6.8 42  1.5   9  7.215.8 2.5
5004419730813 21.9  6.8  0.009900  5.9-99.9-99.9-99.9 6.6 60 6.3 43  0.4   5  4.012.7 2.2
5004419730814 24.1  8.0  0.009900 10.0-99.9-99.9-99.9 6.2 56 7.5 37  2.9  36 28.812.3 5.8
5004419730815 25.7  4.4  0.009900  3.8-99.9-99.9-99.9 8.8 80 8.4 48  4.5  14 11.215.6 3.0
5004419730816 29.4  8.9  0.009900  7.9-99.9-99.9-99.9 8.3 75 8.9 40  5.3  33 26.415.1 6.1
5004419730817 26.1  9.0  0.009900  8.2-99.9-99.9-99.9 8.9 80 9.1 53  5.6  10  8.015.9 3.0
5004419730818 23.5  7.0  0.009900  5.9-99.9-99.9-99.9 6.9 62 8.3 46  4.3   7  5.613.5 2.4
