5291020130824-99.9-99.9 28.819999-99.9-99.9-99.9-99.9-9.9 9910.7100  7.9 -99-99.9-9.9-9.9
5291020140128 34.8 23.0  0.009999-99.9-99.9-99.9-99.9-9.9 9924.5 66 20.7 -99-99.9-9.9-9.9
5291020140129 34.6 21.7  0.009999-99.9-99.9-99.9-99.9-9.9 9923.6 57 20.1 -99-99.9-9.9-9.9
5291020140130 34.7 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 50 18.6 -99-99.9-9.9-9.9
5291020140131 34.5 22.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 59 19.3 -99-99.9-9.9-9.9
5291020140201 35.8 21.5  3.019999-99.9-99.9-99.9-99.9-9.9 9924.5 52 20.7 -99-99.9-9.9-9.9
5291020140202 36.2 22.4  0.519999-99.9-99.9-99.9-99.9-9.9 9921.4 49 18.4 -99-99.9-9.9-9.9
5291020140203 36.0 25.8  0.009999-99.9-99.9-99.9-99.9-9.9 9919.4 41 17.0 -99-99.9-9.9-9.9
5291020140204 36.2 24.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 39 15.5 -99-99.9-9.9-9.9
5291020140205 36.9 22.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.4 49 18.5 -99-99.9-9.9-9.9
5291020140206 37.4 24.8  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 52 18.6 -99-99.9-9.9-9.9
5291020140207 37.6 25.9  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 48 18.6 -99-99.9-9.9-9.9
5291020140208 38.1 24.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.0 39 16.5 -99-99.9-9.9-9.9
5291020140209 38.8 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9920.9 51 18.2 -99-99.9-9.9-9.9
5291020140210 38.0 21.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 50 17.7 -99-99.9-9.9-9.9
5291020140211 37.6 22.0  0.009999-99.9-99.9-99.9-99.9-9.9 9920.8 42 18.1 -99-99.9-9.9-9.9
5291020140212 36.0 22.3  0.009999-99.9-99.9-99.9-99.9-9.9 9923.0 74 19.7 -99-99.9-9.9-9.9
5291020140213 33.8 19.2 11.519999-99.9-99.9-99.9-99.9-9.9 9924.2 92 20.5 -99-99.9-9.9-9.9
5291020140214 22.0 19.4  0.819999-99.9-99.9-99.9-99.9-9.9 9922.6 97 19.4 -99-99.9-9.9-9.9
5291020140215 26.4 15.3  0.519999-99.9-99.9-99.9-99.9-9.9 9919.0 74 16.7 -99-99.9-9.9-9.9
5291020140216 29.8 16.7  0.819999-99.9-99.9-99.9-99.9-9.9 9918.7 60 16.4 -99-99.9-9.9-9.9
5291020140217 31.9 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.9 56 16.6 -99-99.9-9.9-9.9
5291020140218 33.4 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.0 56 17.5 -99-99.9-9.9-9.9
5291020140219 33.9 20.0  8.519999-99.9-99.9-99.9-99.9-9.9 9920.4 53 17.8 -99-99.9-9.9-9.9
5291020140220 26.6 19.9  5.019999-99.9-99.9-99.9-99.9-9.9 9924.1 97 20.5 -99-99.9-9.9-9.9
5291020140221 31.0 19.7  0.219999-99.9-99.9-99.9-99.9-9.9 9925.4 77 21.3 -99-99.9-9.9-9.9
5291020140222 33.2 21.0  4.219999-99.9-99.9-99.9-99.9-9.9 9925.1 76 21.1 -99-99.9-9.9-9.9
5291020140223 31.1 19.1  0.219999-99.9-99.9-99.9-99.9-9.9 9926.3 83 21.9 -99-99.9-9.9-9.9
5291020140224 31.6 22.0  0.009999-99.9-99.9-99.9-99.9-9.9 9927.2 78 22.5 -99-99.9-9.9-9.9
5291020140225 29.6 20.7  0.219999-99.9-99.9-99.9-99.9-9.9 9926.2 81 21.9 -99-99.9-9.9-9.9
5291020140226 29.8 21.3  2.519999-99.9-99.9-99.9-99.9-9.9 9926.5 84 22.0 -99-99.9-9.9-9.9
5291020140227 25.1 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9920.7 93 18.0 -99-99.9-9.9-9.9
5291020140228 27.1 14.3  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 70 14.6 -99-99.9-9.9-9.9
5291020140301 28.3 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.2 60 14.2 -99-99.9-9.9-9.9
5291020140302 30.5 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9918.6 74 16.4 -99-99.9-9.9-9.9
5291020140303 28.7 17.3  0.009999-99.9-99.9-99.9-99.9-9.9 9921.8 83 18.9 -99-99.9-9.9-9.9
5291020140304 27.1 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9924.5 91 20.7 -99-99.9-9.9-9.9
5291020140305 30.3 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9922.8 74 19.6 -99-99.9-9.9-9.9
5291020140306 29.2 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.1 65 16.8 -99-99.9-9.9-9.9
5291020140307 30.1 17.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.4 67 17.0 -99-99.9-9.9-9.9
5291020140308 29.4 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 74 16.8 -99-99.9-9.9-9.9
5291020140309 30.8 16.6  0.219999-99.9-99.9-99.9-99.9-9.9 9918.5 53 16.3 -99-99.9-9.9-9.9
5291020140310 27.3 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9922.5 96 19.3 -99-99.9-9.9-9.9
5291020140311 28.5 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9921.6 73 18.7 -99-99.9-9.9-9.9
5291020140312 30.5 16.4  0.219999-99.9-99.9-99.9-99.9-9.9 9920.9 70 18.2 -99-99.9-9.9-9.9
5291020140313 32.1 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9921.2 66 18.4 -99-99.9-9.9-9.9
5291020140314 32.2 19.8  0.219999-99.9-99.9-99.9-99.9-9.9 9923.9 64 20.3 -99-99.9-9.9-9.9
5291020140315 26.2 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9925.0 97 21.1 -99-99.9-9.9-9.9
5291020140316 32.0 19.7  0.219999-99.9-99.9-99.9-99.9-9.9 9925.7 72 21.5 -99-99.9-9.9-9.9
5291020140317 27.1 18.3  0.519999-99.9-99.9-99.9-99.9-9.9 9923.5 94 20.0 -99-99.9-9.9-9.9
5291020140318 23.7 17.8  2.519999-99.9-99.9-99.9-99.9-9.9 9923.2 95 19.8 -99-99.9-9.9-9.9
5291020140319 22.5 19.1  4.819999-99.9-99.9-99.9-99.9-9.9 9923.3100 19.9 -99-99.9-9.9-9.9
5291020140320 24.3 18.4  0.519999-99.9-99.9-99.9-99.9-9.9 9924.2 99 20.5 -99-99.9-9.9-9.9
5291020140321 27.0 18.7  0.219999-99.9-99.9-99.9-99.9-9.9 9922.9 93 19.6 -99-99.9-9.9-9.9
