5291120061108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120140809 22.2 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.6 96 17.0 -99-99.9-9.9-9.9
5291120140810 28.9 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 76 17.7 -99-99.9-9.9-9.9
5291120140811 26.8 12.7  0.219999-99.9-99.9-99.9-99.9-9.9 9918.9 85 16.5 -99-99.9-9.9-9.9
5291120140812 24.0 15.5 29.019999-99.9-99.9-99.9-99.9-9.9 9919.9 97 17.2 -99-99.9-9.9-9.9
5291120140813 19.0  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 68  4.9 -99-99.9-9.9-9.9
5291120140814 21.5  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 67  5.2 -99-99.9-9.9-9.9
5291120140815 24.1  8.5  7.219999-99.9-99.9-99.9-99.9-9.9 9914.9 80 12.6 -99-99.9-9.9-9.9
5291120140816 28.4 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9920.1 82 17.5 -99-99.9-9.9-9.9
5291120140817 29.8 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.4 85 18.5 -99-99.9-9.9-9.9
5291120140818 29.3 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9918.9 76 16.5 -99-99.9-9.9-9.9
5291120140819 31.2 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9917.8 70 15.6 -99-99.9-9.9-9.9
5291120140820 31.8 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9917.6 67 15.4 -99-99.9-9.9-9.9
5291120140821 31.7 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 53 12.9 -99-99.9-9.9-9.9
5291120140822 33.5 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 55 15.0 -99-99.9-9.9-9.9
5291120140823 34.2 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 58 15.5 -99-99.9-9.9-9.9
5291120140824 33.9 16.8  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 49 14.6 -99-99.9-9.9-9.9
5291120140825 24.6 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 77 12.4 -99-99.9-9.9-9.9
5291120140826 20.7  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 69  6.9 -99-99.9-9.9-9.9
5291120140827 21.6  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 74  5.9 -99-99.9-9.9-9.9
5291120140828 25.7  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 64  6.3 -99-99.9-9.9-9.9
5291120140829 28.8  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 51  9.0 -99-99.9-9.9-9.9
5291120140830 30.6 11.6  3.819999-99.9-99.9-99.9-99.9-9.9 9919.0 70 16.4 -99-99.9-9.9-9.9
5291120140831 22.1 17.2 16.519999-99.9-99.9-99.9-99.9-9.9 9921.8100 18.9 -99-99.9-9.9-9.9
5291120140901 30.1 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9921.7 80 18.7 -99-99.9-9.9-9.9
5291120140902 30.1 18.8 24.219999-99.9-99.9-99.9-99.9-9.9 9922.8 80 19.6 -99-99.9-9.9-9.9
5291120140903 31.4 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.1 80 16.8 -99-99.9-9.9-9.9
