5283020121206 35.7 22.8 59.819999-99.9 22.8-99.9-99.9-9.9 9931.4 86 24.7  13 10.0-9.9-9.9
5283020121207 26.4 18.9  0.219999-99.9 18.2-99.9-99.9-9.9 9917.9 65 15.5   9  7.0-9.9-9.9
5283020121208 30.2 12.9  0.009999-99.9 11.7-99.9-99.9-9.9 9916.2 53 14.1   2  1.5-9.9-9.9
5283020121209 32.8 16.5  0.009999-99.9 15.8-99.9-99.9-9.9 9917.9 49 15.7   5  4.2-9.9-9.9
5283020121210 35.7 18.3 22.219999-99.9 17.6-99.9-99.9-9.9 9922.1 65 19.0  13 10.5-9.9-9.9
5283020121211 31.4 16.1  0.009999-99.9 15.5-99.9-99.9-9.9 9919.2 61 16.8   2  2.0-9.9-9.9
5283020121212 32.0 16.0  0.009999-99.9 15.1-99.9-99.9-9.9 9923.0 68 19.6   5  3.9-9.9-9.9
5283020121213 32.0 19.3  0.009999-99.9 18.1-99.9-99.9-9.9 9917.8 51 15.2   4  3.0-9.9-9.9
5283020121214 33.0 16.7  6.219999-99.9 15.9-99.9-99.9-9.9 9921.7 64 18.6   7  5.2-9.9-9.9
5283020121215 33.3 18.9  0.009999-99.9 18.6-99.9-99.9-9.9 9923.4 72 19.9   3  2.7-9.9-9.9
5283020121216 32.1 18.5  3.819999-99.9 17.7-99.9-99.9-9.9 9923.6 86 20.1   4  3.5-9.9-9.9
5283020121217 24.9 15.0-99.999999-99.9 14.3-99.9-99.9-9.9 9918.7 98 16.4   3  2.7-9.9-9.9
5283020121218-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020121219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020121220-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020121221-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 66-99.9 -99-99.9-9.9-9.9
5283020121222 31.5 15.6  0.009999-99.9 14.8-99.9-99.9-9.9 9916.7 52 14.4   6  5.0-9.9-9.9
5283020121223 33.6 15.2  0.009999-99.9 14.9-99.9-99.9-9.9 9924.7 69 20.6   6  5.0-9.9-9.9
5283020121224 37.5 25.1  0.009999-99.9 24.7-99.9-99.9-9.9 9932.8 65 25.6  14 11.5-9.9-9.9
5283020121225 33.8 22.4  0.009999-99.9 22.1-99.9-99.9-9.9 9923.6 62 19.5  12  9.9-9.9-9.9
5283020121226 25.5 14.9  0.009999-99.9 14.2-99.9-99.9-9.9 9915.1 61 13.1   5  4.3-9.9-9.9
5283020121227 26.8 10.3  0.009999-99.9  9.3-99.9-99.9-9.9 9914.8 57 12.8   4  3.5-9.9-9.9
5283020121228 28.2 12.6  0.009999-99.9 11.6-99.9-99.9-9.9 9915.6 56 13.6   3  2.6-9.9-9.9
5283020121229 32.2 13.1  0.009999-99.9 12.4-99.9-99.9-9.9 9918.3 52 16.0   3  2.4-9.9-9.9
5283020121230 34.1 16.8  0.009999-99.9 16.3-99.9-99.9-9.9 9923.3 61 19.9   7  5.2-9.9-9.9
5283020121231 34.6 20.6 58.019999-99.9 20.4-99.9-99.9-9.9 9927.8 90 22.7   8  6.4-9.9-9.9
5283020130101 22.2 13.1  0.009999-99.9 12.9-99.9-99.9-9.9 9913.2 60 10.9   9  7.2-9.9-9.9
5283020130102 26.0  9.2  0.009999-99.9  8.1-99.9-99.9-9.9 9913.6 64 11.4   2  1.8-9.9-9.9
5283020130103 28.6 12.3  0.009999-99.9 11.7-99.9-99.9-9.9 9917.2 60 15.0   6  4.7-9.9-9.9
