5011419560511-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 54  0.0   6  4.8-9.9-9.9
5011419560512-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 54 -1.0   7  5.6-9.9-9.9
5011419560513-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 50 -1.9   6  4.8-9.9-9.9
5011419560514-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.5 61 -1.4   7  5.6-9.9-9.9
5011419560515-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 69 -0.5   9  7.2-9.9-9.9
5011419560516-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 59 -1.2   7  5.6-9.9-9.9
5011419560517-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 66 -0.7  11  8.8-9.9-9.9
5011419560518-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 62 -0.7   9  7.2-9.9-9.9
5011419560519-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 58 -0.5   7  5.6-9.9-9.9
5011419560520-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.3 59  0.4   6  4.8-9.9-9.9
5011419560521-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 64  0.2   6  4.8-9.9-9.9
5011419560522-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 61 -1.2   9  7.2-9.9-9.9
5011419560523-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.6 62  1.1   4  3.2-9.9-9.9
5011419560524-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 52 -1.2   9  7.2-9.9-9.9
5011419560525-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 52 -0.7   6  4.8-9.9-9.9
5011419560526-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 52 -0.2   6  4.8-9.9-9.9
5011419560527-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 64  3.4   7  5.6-9.9-9.9
5011419560528-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 85  4.8  16 12.8-9.9-9.9
5011419560529-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 92  9.0   9  7.2-9.9-9.9
5011419560530-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5011419560531-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 89  8.8   9  7.2-9.9-9.9
5011419560601-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 94  5.4  15 12.0-9.9-9.9
5011419560602-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 97  5.4  11  8.8-9.9-9.9
5011419560603-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 95  5.6   9  7.2-9.9-9.9
5011419560604-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 94  8.2   9  7.2-9.9-9.9
5011419560605-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 93  9.0   6  4.8-9.9-9.9
5011419560606-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.4 86  7.5   4  3.2-9.9-9.9
5011419560607-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 77  7.1   7  5.6-9.9-9.9
5011419560608-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 75  6.1  11  8.8-9.9-9.9
5011419560609-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 82  5.8   9  7.2-9.9-9.9
